tft,tech,t_h,split,n,VT0,U0,GAMMA,SS,LAMBDA,GOFF,GOFF_truth,rms_dec,err_on_pct,err_sub_pct
T1,LTPS_P,0,fit,886,1.1457738406168092,71.14978576320385,0.035495004736286404,0.26597173961534637,0.055447069976962964,2.5726338248473053e-13,2e-13,0.06332277024562569,5.512999565684895,98.24025211373342
T1,LTPS_P,10,fit,886,1.251101534967603,70.28399950620931,0.045259775263952466,0.26486889040902184,0.05518691362925128,2.638511214212264e-13,,0.061896604594611354,5.731651719027275,97.4632076607025
T1,LTPS_P,30,fit,886,1.322725452012288,69.89525786282705,0.04309146705175438,0.2679535055340536,0.05843371606758673,2.528930709049295e-13,,0.06452764815688591,6.075367538546428,94.05348884960698
T1,LTPS_P,100,fit,886,1.433263354893708,69.01695588992916,0.04856224732897158,0.2679663244866686,0.06110102664031667,2.550829814427396e-13,,0.06458752941498246,6.2990560759425,93.39916521847194
T1,LTPS_P,300,fit,886,1.5736889821376212,67.00733705030856,0.05682685830778095,0.26718411739349435,0.06453839199753815,2.5243230066803365e-13,,0.06755761622622272,6.855881838108369,92.04731107434768
T1,LTPS_P,1000,fit,886,1.7855279296437436,66.24139666319397,0.044444007274966155,0.2702202247215105,0.07514650461278913,2.4693676845495265e-13,,0.0740703440652499,8.730858910554629,87.02528616216479
T1,LTPS_P,3000,blind,886,1.9977989594686223,62.58127448447105,0.04847398698389623,0.26702749424305583,0.09294464836466136,2.5551061014266974e-13,,0.08411059202354076,10.347575464288482,44.99440291586085
T2,LTPS_P,0,fit,886,1.1007669202487045,69.06455328422706,0.03363230125912644,0.25796040322082664,0.05796951449272931,2.563726545170558e-13,2e-13,0.0670576780110542,6.04900175179417,106.42532316955248
T2,LTPS_P,10,fit,886,1.1199476540896849,68.84618690330242,0.03708702922734901,0.2581927258697185,0.05773168267127806,2.60388747999448e-13,,0.06720578024438587,6.1292371695045755,112.32324676741965
T2,LTPS_P,30,fit,886,1.132539323735615,68.89078286596248,0.0360799895238697,0.2585956630508063,0.05863573796468231,2.580397034056726e-13,,0.06817317273772097,6.270147258512981,112.24062404185023
T2,LTPS_P,100,fit,886,1.1509763982477397,68.44393445413903,0.03802268471654142,0.2577643039882305,0.058791230836610225,2.479370547965792e-13,,0.06977578009241923,6.279778338432407,111.65647461931894
T2,LTPS_P,300,fit,886,1.180063605721307,68.62092210730293,0.0361906112423999,0.2600760373143111,0.05984147728685238,2.603090022654706e-13,,0.0663728064534836,6.34253961041511,108.42679334745324
T2,LTPS_P,1000,fit,886,1.2165354286181107,68.30480283973107,0.03626645765557558,0.2598187327199711,0.060478090067895375,2.484618077900416e-13,,0.06974607242851602,6.379488350607643,110.4178123652885
T2,LTPS_P,3000,blind,886,1.2559108897551619,67.88599730667157,0.03894247590108902,0.2593945829294562,0.060970186508565845,2.602690174551763e-13,,0.0664418889832338,6.2292764951163315,109.01965366563972
T3,IGZO_N,0,fit,886,0.78555734101765,11.992218537156006,0.17716134203914283,0.14302645536812972,0.028060110890408625,3.0976356761614872e-15,1.3e-15,0.04463854604163375,3.8612151506728365,86.78622490349737
T3,IGZO_N,10,fit,886,0.8055619448686635,11.975637338346797,0.1768065395493056,0.14321776570460348,0.029317499802796194,3.0414195925572895e-15,,0.04439914497329203,4.002260785299883,89.2929270000943
T3,IGZO_N,30,fit,886,0.8168152638696095,11.948336149654153,0.18090560170210662,0.14310309480588512,0.027762358408661907,3.053354839812054e-15,,0.04409091860696363,3.9567776039978853,85.06478597066223
T3,IGZO_N,100,fit,886,0.8613169624485705,12.551550307013432,0.14780674673132305,0.15785924084965072,0.029174175756643005,3.1180666060806302e-15,,0.056601021025128595,3.8743182367411144,76.2223326297939
T3,IGZO_N,300,fit,886,0.8633361103455363,11.909128657856899,0.18143137078321553,0.14419553823445758,0.0274286645112946,3.0819682898825905e-15,,0.04330832369877739,3.9050670997839987,80.32369019042366
T3,IGZO_N,1000,fit,886,0.9000077400135068,11.81098973414291,0.18311966246484263,0.14474278500349275,0.029286859269604445,3.1814505064761563e-15,,0.04462594743042542,3.9286902466635354,90.7041717334025
T3,IGZO_N,3000,blind,886,0.9403432141590391,11.860149487393953,0.17976605962418202,0.14386065676875998,0.028853510294635582,3.0792910883708857e-15,,0.043543348818757446,3.8736019242095354,90.29608103275442
T4,IGZO_N,0,fit,886,0.7488201125618251,11.630924731467324,0.18191474084092418,0.14798467202448345,0.0270185888031001,3.169989280941777e-15,1.3e-15,0.04461618629254583,3.85227306881617,88.47838238398738
T4,IGZO_N,10,fit,886,0.7719989332891686,11.720495952704509,0.17669025023963852,0.150158633285848,0.02766767148381944,3.1610586030703717e-15,,0.04454996370106297,3.8866998193074043,79.57564518481766
T4,IGZO_N,30,fit,886,0.7824192362734592,11.676526419566152,0.17958570211953273,0.14881835302933602,0.027055031837023128,3.0451649511874655e-15,,0.04313426760362012,3.9461915247062773,82.2537871394916
T4,IGZO_N,100,fit,886,0.8053567499258324,11.713818254939708,0.17764592734516155,0.15131867125212922,0.027173696994226004,3.0755057576750693e-15,,0.042955214426014625,4.0602372131654185,87.4333224779866
T4,IGZO_N,300,fit,886,0.8243980696442549,11.514980463172467,0.18851026760880252,0.14607609296867274,0.028162138792890562,3.373265920041403e-15,,0.073343546467878,3.819214191633158,83.99840699569448
T4,IGZO_N,1000,fit,886,0.8685626629268776,11.637269333173974,0.17784114211913357,0.15158569290976592,0.0286144750381846,3.1167973975475562e-15,,0.04321200121027279,3.976505275262876,77.21065455303079
T4,IGZO_N,3000,blind,886,0.9073841568756433,11.6184000189954,0.17806644217302392,0.15000828917455528,0.02840979433027006,3.108659697108116e-15,,0.04358934108122301,3.7413086928384187,87.62272927162454
T5,LTPS_P,0,fit,886,1.150338154454877,67.65662881694465,0.0380993468568035,0.27286103169234566,0.059303415170346985,2.6021880189438117e-13,2e-13,0.06584157108966618,6.219818834366309,105.2173325908361
T5,LTPS_P,10,fit,886,1.5106896376346655,66.0883513230082,0.04863523891864146,0.27536442480592355,0.06534775915674156,2.535665520089561e-13,,0.06875439228428137,7.00185708898966,100.62032436241152
T5,LTPS_P,30,fit,886,1.741580066510381,65.3673178370381,0.04123505946405351,0.2783621559045333,0.07603937195706095,2.5326939370110743e-13,,0.07285196560110908,8.86314797070753,92.61207496741153
T5,LTPS_P,100,fit,886,2.094731388743131,59.85116397315294,0.053723240876588745,0.27445001659503454,0.10360077678614701,2.4811341546476707e-13,,0.0949023090606224,14.03725285927575,87.47454984017999
T5,LTPS_P,300,fit,886,2.5908659790479835,60.25581605244793,0.035338691767899784,0.2845465200818069,0.1112026147271323,2.7424155798889833e-13,,0.0915821983168986,10.092714569566198,83.01212415111148
T5,LTPS_P,1000,fit,886,3.2222458439470922,50.43736680655532,0.09401811551184895,0.2800213441459358,0.14032620656833203,2.533694869385599e-13,,0.10204521694156253,13.465527077887707,43.28220627223038
T5,LTPS_P,3000,blind,886,3.9719857148963014,51.547834641458735,0.05961967894022622,0.2804733474502057,0.14218935371331243,2.574731079839353e-13,,0.08905866214352598,17.70363229610932,74.29090456484366
T6,LTPS_P,0,fit,886,1.1755533761832342,66.16678125786997,0.04679324110731653,0.2660605200148723,0.05890847124254778,2.5929013473347897e-13,2e-13,0.06658913082105043,6.26646855287436,109.43879310077178
T6,LTPS_P,10,fit,886,1.5340897078199778,65.10932257729515,0.05037182630955857,0.2699745896759076,0.06551556503123843,2.5855820375684187e-13,,0.06826182024471537,7.519333735137357,102.17266211892446
T6,LTPS_P,30,fit,886,1.75929344913379,64.33533278598297,0.04215538862415432,0.271620607078285,0.07760205441677427,2.578296818932893e-13,,0.07228154841986853,8.999389051170436,96.6002436368077
T6,LTPS_P,100,fit,886,2.1055541284101507,58.62492529937685,0.05750650598811124,0.268552089272363,0.10740755610629034,2.4568032642893654e-13,,0.09649956482678783,13.39803214492752,75.82913069082522
T6,LTPS_P,300,fit,886,2.5885686513143193,59.35674521042462,0.04696175548194618,0.27722507630863785,0.10417976925855967,2.700906698503359e-13,,0.09048202550092517,9.774125965562973,85.01341175157206
T6,LTPS_P,1000,fit,886,3.2138921670376424,49.74166751579228,0.09666908320877915,0.27426855507166903,0.14137470879259684,2.5584963723756257e-13,,0.10030965156166723,13.298618731597479,44.8358274627326
T6,LTPS_P,3000,blind,886,3.9514579084401507,51.55424211167463,0.056421203617829464,0.2733544259820339,0.138036199638495,2.568222071863004e-13,,0.0884617377890598,17.262060900838172,79.49895733249461
